Entity Name	Eligibility	Model_Of_Inheritance	Phenotypes	Comment	TANGO	NAT			
CNPY3	1	autosomal recessive	Developmental and epileptic encephalopathy 60 OMIM:617929,ORPHA:3451						
COASY	1	BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration with brain iron accumulation 6; COASY protein-associated neurodegeneration						
COQ2	1	BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 1, OMIM:607426;General Leukodystrophy & Mitochondrial Leukoencephalopathy ORPHA:255249,ORPHA:98933,OMIM:607426,OMIM:146500,ORPHA:227510	"Coenzyme Q10 systemic, but 	{Multiple system atrophy, susceptibility to} progressive neurological disorder"					
CP	1	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Aceruloplasminemia;Cerebellar ataxia, 604290;Hemosiderosis, systemic, due to aceruloplasminemia, 604290 ORPHA:48818,OMIM:604290						
CRAT	1	autosomal recessive	OMIM:617917	NBIA					
CTSD	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 10						
CTSF	1	autosomal recessive	Ceroid lipofuscinosis, neuronal, 13 (Kufs type) OMIM:615362						
CUX2	1	autosomal dominant	Developmental and epileptic encephalopathy 67 OMIM:618141,ORPHA:2382	some patients with developmental regression					
CYP27A1	1	BIALLELIC, autosomal or pseudoautosomal	General Leukodystrophy & Mitochondrial Leukoencephalopathy;Cerebrotendinous xanthomatosis, 213700 OMIM:213700,ORPHA:909	has some systemic defects					
CYP2U1	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 56, autosomal recessive ORPHA:320411,OMIM:615030						
CYP7B1	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 5A, autosomal recessive , OMIM:270800 OMIM:613812,ORPHA:79302,ORPHA:100986,OMIM:270800	might be too slowly progressive					
DARS1	1	BIALLELIC, autosomal or pseudoautosomal	Brain stem and spinal cord Hypomyelination;leg spasticity;Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281						
DARS2	1	BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation (LBSL);General Leukodystrophy & Mitochondrial Leukoencephalopathy;Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105 ORPHA:137898,OMIM:611105						
DCAF17	1	BIALLELIC, autosomal or pseudoautosomal	Dystonia;Woodhouse-Sakati syndrome ORPHA:3464,OMIM:241080	patients have hormonal imbalances					
DCTN1	1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Neuropathy, distal hereditary motor, type VIIB, 607641;{Amyotrophic lateral sclerosis, susceptibility to}, 105400;Perry syndrome, 168605 OMIM:168605,ORPHA:803,ORPHA:178509,OMIM:105400,OMIM:607641	no neurological regression					
DDHD2	1	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 54, autosomal recessive  ORPHA:320380,OMIM:615033						
DEAF1	1	autsosomal dominant and autosomal recesive	Vulto-van Silfout-de Vries syndrome ORPHA:178469,ORPHA:468620,OMIM:615828,ORPHA:819,OMIM:617171						
DLAT	1	BIALLELIC, autosomal or pseudoautosomal	episodic dystonia;pyruvate dehydrogenase deficiency;Pyruvate dehydrogenase E2 deficiency ORPHA:79244,OMIM:245348						
